Date,Open,High,Low,Close,Volume
11/2023,"21.46","23.82","18.06","22.11","2,711,757"
10/2023,"28.12","28.85","21.00","21.60","2,685,909"
09/2023,"30.98","32.09","28.16","28.25","1,517,385"
08/2023,"32.29","32.48","29.67","30.82","1,256,204"
07/2023,"32.15","34.73","31.88","32.37","1,843,396"
06/2023,"26.26","35.59","25.44","32.47","2,263,616"
05/2023,"28.80","29.74","25.86","26.16","1,781,113"
04/2023,"30.48","30.89","27.51","28.71","1,305,323"
03/2023,"33.92","34.51","29.34","30.52","2,504,338"
02/2023,"32.49","35.99","30.62","33.92","1,979,722"
01/2023,"27.60","32.46","27.60","32.42","1,499,806"
12/2022,"25.14","27.89","23.75","27.54","2,857,802"
11/2022,"24.15","25.20","22.86","25.15","543,979"
